"","age","educ","black","hisp","married","nodegr","re74","re75","re78","u74","u75","treat","pscores"
"1",37,11,1,0,1,1,0,0,9930.05,1,1,1,0.381688929232456
"2",22,9,0,1,0,1,0,0,3595.89,1,1,1,0.274833606644514
"3",30,12,1,0,0,0,0,0,24909.5,1,1,1,0.520205158193125
"4",27,11,1,0,0,1,0,0,7506.15,1,1,1,0.37946895062097
"5",33,8,1,0,0,1,0,0,289.79,1,1,1,0.466301044313922
"6",22,9,1,0,0,1,0,0,4056.49,1,1,1,0.417901630565054
"7",23,12,1,0,0,0,0,0,0,1,1,1,0.518559636715055
"8",32,11,1,0,0,1,0,0,8472.16,1,1,1,0.380578315774953
"9",22,16,1,0,0,0,0,0,2164.02,1,1,1,0.999999527896808
"10",33,12,0,0,1,0,0,0,12418.1,1,1,1,0.575385537942446
"11",19,9,1,0,0,1,0,0,8173.91,1,1,1,0.417214546768548
"12",21,13,1,0,0,0,0,0,17094.6,1,1,1,0.614005354729114
"13",18,8,1,0,0,1,0,0,0,1,1,1,0.462787389378847
"14",27,10,1,0,1,1,0,0,18739.9,1,1,1,0.306639568307575
"15",17,7,1,0,0,1,0,0,3023.88,1,1,1,0.25637248382668
"16",19,10,1,0,0,1,0,0,3228.5,1,1,1,0.305040150196204
"17",27,13,1,0,0,0,0,0,14581.9,1,1,1,0.615343622067682
"18",23,10,1,0,0,1,0,0,7693.4,1,1,1,0.305839274364997
"19",40,12,1,0,0,0,0,0,10804.3,1,1,1,0.522555134065081
"20",26,12,1,0,0,0,0,0,10747.4,1,1,1,0.519264911590841
"21",23,11,1,0,0,1,0,0,0,1,1,1,0.378582364114564
"22",41,14,0,0,0,0,0,0,5149.5,1,1,1,0.76208697769277
"23",38,9,0,0,0,1,0,0,6408.95,1,1,1,0.475979240091222
"24",24,11,1,0,0,1,0,0,1991.4,1,1,1,0.378803934948527
"25",18,10,1,0,0,1,0,0,11163.2,1,1,1,0.304840552294319
"26",29,11,1,0,1,1,0,0,9643,1,1,1,0.379912546233904
"27",25,11,1,0,0,1,0,0,9897.05,1,1,1,0.379025556364916
"28",27,10,0,1,0,1,0,0,11142.9,1,1,1,0.189276390864627
"29",17,10,1,0,0,1,0,0,16218,1,1,1,0.3046410277449
"30",24,11,1,0,0,1,0,0,995.7,1,1,1,0.378803934948527
"31",17,10,1,0,0,1,0,0,0,1,1,1,0.3046410277449
"32",48,4,1,0,0,1,0,0,6551.59,1,1,1,0.824669247133081
"33",25,11,1,0,1,1,0,0,1574.42,1,1,1,0.379025556364916
