education,age,treatment,welfare,female,ega,income,emp_priv,emp_pub,pubtransfer,preschool
3,55,1,5,1,8,8,0,0,0,0
1,60,0,2,1,13,1,0,0,1,0
5,26,1,4,0,10,1,0,1,1,0
6,34,0,5,0,6,8,1,0,0,1
6,51,1,2,1,15,9,0,1,0,0
6,62,1,9,0,4,12,1,0,0,0
5,60,1,2,1,10,7,0,0,1,0
2,20,1,8,1,6,3,0,1,0,0
5,47,0,5,1,7,7,0,1,0,0
3,47,0,3,1,12,2,0,0,1,0
5,47,0,6,0,12,8,0,1,0,0
5,50,1,4,1,9,7,1,0,0,0
5,67,1,6,1,12,7,0,0,1,0
6,64,1,4,0,9,5,0,0,1,0
5,58,1,5,1,8,7,1,0,0,0
3,33,0,7,0,8,9,0,0,0,1
5,48,0,3,0,9,10,0,1,0,0
6,40,0,5,0,9,11,0,1,0,1
3,69,0,5,0,9,3,0,0,1,0
5,39,1,6,0,12,8,0,1,0,0
6,61,0,9,0,5,12,0,0,1,0
2,58,1,8,1,8,13,1,0,0,0
5,60,1,6,1,5,12,0,0,0,0
5,33,1,8,0,4,9,1,0,0,1
1,48,1,4,1,5,5,0,1,0,0
6,36,0,4,1,12,4,0,0,1,0
1,40,0,6,0,7,6,1,0,0,0
6,53,0,4,0,8,14,1,0,0,0
3,76,1,4,0,9,1,0,0,1,0
4,45,0,3,1,11,5,0,0,1,0
3,55,1,10,1,15,4,0,0,1,0
5,75,0,6,1,7,8,0,0,1,0
5,60,1,2,0,10,2,0,0,0,0
5,37,1,7,1,6,1,0,0,0,0
3,39,1,6,0,5,11,1,0,0,0
1,58,1,6,1,11,6,1,0,0,0
1,47,0,5,1,10,1,0,0,1,0
3,78,0,5,0,13,2,0,0,1,0
6,44,0,7,0,4,16,1,0,0,0
3,28,0,8,0,12,8,1,0,0,0
3,62,1,9,1,10,8,1,0,0,0
5,32,0,9,1,5,7,0,1,0,1
5,59,0,4,1,11,8,0,1,0,0
1,50,0,5,1,10,4,0,0,1,0
6,45,0,8,0,6,9,0,1,0,0
1,21,0,9,1,10,1,1,0,0,0
2,57,0,7,1,8,1,0,0,1,0
1,59,0,8,0,11,3,0,0,1,0
3,69,0,8,0,9,3,0,0,1,0
3,79,1,6,1,9,4,0,0,1,0
1,49,1,4,0,10,5,0,0,1,0
3,74,0,8,1,6,5,0,0,1,0
6,59,1,5,0,12,12,0,1,0,0
2,35,1,5,0,6,8,0,1,0,1
3,30,0,7,0,6,9,0,1,0,1
1,76,0,8,1,13,2,0,0,1,0
3,75,0,5,0,10,3,0,0,1,0
3,36,0,9,0,3,12,1,0,0,1
3,37,0,7,0,6,13,1,0,0,0
6,51,0,3,1,11,10,0,1,0,0
1,42,1,9,1,9,7,0,1,0,0
5,71,1,7,0,4,15,0,0,1,0
3,34,1,8,0,9,11,1,0,0,1
3,56,0,9,1,9,7,0,1,0,0
3,47,0,6,1,7,6,0,1,0,0
5,37,1,4,1,10,6,0,0,1,1
3,79,0,10,0,12,3,0,0,1,0
3,57,1,9,1,13,3,0,0,1,0
3,59,1,5,0,4,13,1,0,0,0
3,69,1,9,0,12,2,0,0,1,0
5,56,0,4,0,13,10,0,1,0,0
1,67,0,10,1,11,2,0,0,1,0
3,30,0,6,0,10,6,1,0,0,0
5,61,1,2,1,6,3,0,0,1,0
5,71,0,8,1,11,8,0,0,1,0
6,77,0,8,1,11,5,0,0,1,0
3,51,0,10,1,5,2,0,1,0,0
5,70,0,2,1,13,8,0,0,1,0
3,73,0,7,0,10,2,0,0,1,0
6,32,1,6,0,10,6,0,1,0,1
3,63,0,9,1,11,2,0,0,1,0
3,48,1,7,0,9,11,1,0,0,0
2,19,1,7,1,3,1,1,0,0,0
4,57,1,6,1,13,9,1,0,0,0
5,44,0,8,1,4,10,0,1,0,0
6,32,0,5,0,5,8,0,1,0,1
6,67,1,4,0,9,7,0,0,1,0
3,55,1,4,0,13,9,0,1,0,0
3,60,1,2,0,11,11,1,0,0,0
5,59,1,7,0,9,9,0,1,0,0
5,88,1,6,0,9,9,0,0,1,0
5,65,1,4,0,9,6,0,0,1,0
5,49,1,5,1,10,7,1,0,0,0
3,60,0,7,1,6,8,0,1,0,0
3,59,0,5,0,8,10,0,0,1,0
3,54,1,5,0,10,9,1,0,0,0
3,75,0,6,0,11,4,0,0,1,0
5,79,1,3,1,9,6,0,0,1,0
5,36,1,8,0,9,14,1,0,0,1
3,39,0,10,0,13,8,0,1,0,1
4,48,1,10,1,5,10,1,0,0,0
5,56,1,5,0,9,9,0,1,0,0
3,64,1,8,0,7,4,0,0,1,0
5,71,0,8,1,8,2,0,0,1,0
5,34,0,4,1,6,8,0,1,0,1
3,62,0,6,0,8,11,1,0,0,0
4,77,0,8,1,10,5,0,0,1,0
1,59,0,7,1,13,1,0,0,1,0
3,53,1,5,0,11,2,0,0,1,0
5,81,0,10,0,13,7,0,0,1,0
6,30,1,10,0,6,13,1,0,0,0
5,73,0,9,0,9,9,0,0,1,0
4,78,1,5,0,13,6,0,0,1,0
3,56,0,7,1,9,8,0,1,0,0
5,75,0,8,0,11,12,0,0,1,0
1,27,0,2,0,15,7,1,0,0,0
5,79,1,4,1,13,1,0,0,1,0
3,75,1,8,0,8,6,0,0,1,0
4,40,1,8,1,4,8,1,0,0,0
3,51,1,5,0,12,5,1,0,0,0
5,75,0,3,0,7,3,0,0,1,0
4,73,0,8,0,8,5,0,0,1,0
6,37,1,4,1,12,10,0,0,1,1
4,44,0,8,0,6,8,1,0,0,0
1,58,0,7,0,14,7,1,0,0,0
3,76,1,6,1,14,4,0,1,0,0
5,76,0,5,1,10,2,0,0,1,0
3,37,0,7,0,10,7,0,0,1,0
3,71,1,6,1,11,6,0,0,1,0
4,46,0,4,0,6,10,1,0,0,0
5,75,1,8,0,7,7,0,0,1,0
3,42,1,8,1,8,8,1,0,0,0
3,60,0,7,0,8,4,0,0,1,0
4,43,1,6,1,8,14,0,1,0,0
4,77,1,3,0,10,7,0,0,1,0
3,64,1,5,0,10,7,0,0,1,0
5,61,0,3,0,11,5,0,0,1,0
6,72,0,7,1,9,8,0,0,1,0
2,19,0,8,0,4,3,1,0,1,0
6,73,1,8,0,8,8,0,0,1,0
3,80,1,9,0,10,1,0,0,1,0
3,71,0,10,0,12,2,0,0,1,0
5,35,1,6,1,9,6,0,1,0,1
6,67,0,8,0,5,10,0,0,1,0
5,36,0,8,1,7,8,1,0,0,0
4,73,1,9,1,10,3,0,0,1,0
3,67,1,6,0,10,8,0,0,1,0
1,29,0,8,1,9,1,0,1,0,0
4,70,1,5,1,9,3,0,0,1,0
3,46,0,2,0,7,10,1,0,0,0
5,60,0,4,0,11,7,0,0,1,0
3,42,0,9,0,8,12,1,0,0,1
3,50,1,5,1,7,8,1,0,0,0
3,67,0,4,1,12,2,0,0,1,0
3,58,0,10,0,11,11,0,1,0,0
5,54,0,6,0,11,8,0,1,0,0
4,63,1,8,0,7,6,1,0,0,0
